CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Gl              -0.92           -0.251e-12
Kt              -1.4880         -5.1464e-12
Mm              0.228           -0.183e-12
Mg              -0.075          -4.5976e-12
Sz              0.451           -0.187e-12

