CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Nn              +12.92          -3.085e-15
Pv              -0.061          +5.1042e-13
Gl              -0.65           -0.251e-12
Kt              -1.363          -5.1464e-12
Mm              0.379           -0.183e-12
Ax              -0.75           +0.605e-12
Mg              0.09            -4.5976e-12
