CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Nn              +12.393         -3.085e-15
Pv              +0.145          +5.1042e-13
Gl              -0.665          -0.251e-12
Kt              -1.3695         -5.1464e-12
Mm              0.365           -0.183e-12
Ax              -0.77           +0.605e-12
Sz              +0.58           -0.187e-12
Mg              0.07            -4.5976e-12
