CLOCK
# Station ID    Delay (usec)    Rate (usec)
Nn              +12.7           -2.897e-15
Pv              0.148           +5.1042e-13
Gl              -1.05           +7.65e-14
Kt              -1.44           -5.0834e-12
Mm              -41.533         +1.313038e-15
Sz              +0.56           -0.187e-12
Ax              -0.60           +0.605e-12
Mg              -0.15           -4.3196e-12
