CLOCK
# Station ID    Delay (usec)    Rate (usec)
Nn              +12.7           -2.897e-15
Pv              +0.134          +5.1042e-13
Gl              -0.90           +7.65e-14
Kt              -1.44           -5.0834e-12
Mm              +0.237          +1.313038e-15
