CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Ax              -0.63           +0.605e-12
Nn              +12.95          -3.085e-15
Pv              +0.683          +5.1042e-13
Gl              -1.08           -0.251e-12
Kt              -1.60           -5.1464e-12
Mm              -41.66          +1.313038e-15
Sz              +0.17           -0.187e-12
Mg              -0.33           -4.5976e-12
