CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Nn              +12.393         -3.085e-15
Pv              +0.145          +5.1042e-13
Gl              -0.92           -0.251e-12
Kt              -1.424          -5.1464e-12
Mm              0.350           -0.183e-12
Ax              -0.77           +0.605e-12
Sz              0.503           -0.187e-12
