CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Nn              +12.7           -3.085e-15
Pv              0.148           +5.1042e-13
Gl              -0.748          -0.251e-12
Kt              -1.44           -5.1464e-12
Mm              -41.45          -0.183e-12
Sz              +0.483          -0.187e-12
Ax              -0.60           +0.605e-12
Mg              -0.044          -4.5976e-12
