CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Ax              0.0             +0.605e-12
Nn              +12.7           -3.085e-15
Pv              +0.683          +5.1042e-13
Gl              -1.08           -0.251e-12
Kt              -1.60           -5.0834e-12
Mm              0.0             +1.313038e-15
Sz              +0.816          -0.187e-12
