CLOCK
# Station ID    Delay (usec)    Rate (s/s)
Ax              -0.77           +0.605e-12
Nn              +12.883         -3.085e-15
Pv              +0.134          +5.1042e-13
Gl              -0.90           -0.251e-12
Kt              -1.44           -5.1464e-12
Mm              +0.237          -0.183e-12
Sz              +0.58           -0.187e-12
