CLOCK
# Station ID    Delay (usec)    Rate (usec)
Nn              +12.9           -3.085e-15
Pv              -0.087          +5.1042e-13
Gl              -1.08           +6.26e-14
Kt              -1.60           -5.0834e-12
Mm              0.255           +1.313038e-15
Ax              -0.77           +0.605e-12
Mg              -0.146          -4.3196e-12
